831|energy;health|air pollution;india|startup|project|India|-|founder|22|Praan
832|materials;energy|plastic waste;building materials;india|startup|project|India|-|founder|19|Plascrete
833|econ;gov|state capacity;india;vaccines|research;writing|project|India|-|academic|-|-
834|computing;econ|e-commerce;india|startup|project|India|-|founder|-|Growcify
835|linguistics;edu|english language;india|software;course|project|India|-|founder|-|The Queen's English
836|econ;gov|crime;india;development economics|research|project|Netherlands|Chile|postdoc|-|-
837|econ;gov|dalit capitalism;india;caste|research;writing|project|India|-|writer|-|-
838|edu|rural education;india;youtube|video;nonprofit|project|India|-|founder|-|Study Garh
839|ai;computing|semantic search;india|startup|project|India|-|school|17|Knowledge Engine
840|edu;linguistics|stem education;india;kannada|nonprofit|project|India|-|founder|20|Project Sitara Foundation
841|gov;econ|labour regulation;india;womens employment|thinktank|project|India|-|founder|-|Trayas Foundation
842|ai;health|mobility analytics;covid-19;india|startup|project|India|-|founder|-|Infinite Analytics
843|media;computing|disinformation;network science;india|software|project|India|-|undergrad|21|-
844|media;energy|environmental journalism;india;coastal erosion|writing|project|India|-|writer|-|Peepli
845|cities;econ|urbanisation;india;political economy|research|project|United Kingdom|India|academic|-|-
846|econ;edu|political economy;india;education|course|project|India|-|grad|-|Polekon
847|health;computing|contact tracing;india;privacy|hardware|project|India|-|founder|-|CONTACT
848|space;computing|cubesats;open source;india|hardware;nonprofit|project|India|-|school|16|Paradox Sonic Space Research Agency
849|media;arts|storytelling;india;apps|software|project|India|-|founder|-|StorySurf
850|robotics;cities|drone delivery;india|startup|project|India|-|school|16|Airbound
851|health;econ|excess mortality;covid-19;india|research|project|United States|India|academic|-|-
852|history;ai|violence;india;digital archives|dataset|project|India|-|academic|-|India Violence Archive
853|edu;computing|interactive learning;india|startup|project|India|-|founder|-|Primer
854|edu|tutoring;india|startup|project|India|-|founder|23|SUVY Classes
855|energy;cities|solar power;rural electrification;india|hardware|project|India|-|founder|28|-
856|bio;ai|computational biology;protein structure;india|software|project|India|-|undergrad|21|-
857|materials;energy|carbon capture;building materials;india|startup|project|India|-|founder|-|CarbonCraft
858|edu|education technology;india|-|travel|India|-|school|18|UnMold
859|edu|digital access;india|nonprofit|project|India|-|school|16|Mobilize
860|ai;cities|self-driving cars;india|software|project|India|-|undergrad|22|-
861|media;ai|journalism;india;newsletters|writing|project|India|-|writer|28|The Interval
862|space;materials|rocketry;propellants;india|startup|project|India|-|founder|23|Space Fields
863|media|investigative journalism;india|book|project|India|-|writer|38|-
864|materials|graphene;bioplastics;india|research|project|India|-|undergrad|20|-
865|health;gov|air pollution;monitoring|research|project|United States|India|school|16|-
866|ai;edu|data science education;india|startup|project|India|-|founder|-|EquiTech Futures
867|gov;econ|state capacity;india|thinktank|institution|India|-|founder|-|Artha Global
868|edu;ai|ethnography;india;education|research|project|China|-|grad|26|-
869|media;econ|entrepreneurship;bangladesh|magazine|project|Bangladesh|-|writer|-|Future Startup
870|ai;gov|legal tech;india;ai alignment|startup|project|India|-|founder|21|Jhana
871|talent|talent search;india;teenagers|startup|project|India|-|founder|24|Sigma91
872|bio;ai|canine olfaction;disease detection;india|startup|project|India|-|founder|22|Dogluk
873|finance|blockchain;small business;india|startup|project|India|-|founder|24|EquiDEI
874|materials;bio|bioplastics;biomimicry|startup|project|?|-|school|-|SealXX
875|neuro;materials|brain computer interfaces;biomimicry|startup|project|India|-|school|17|SealXX
876|energy;materials|carbon capture;biomimicry|startup|project|India|-|school|17|SealXX
877|cities;materials|biomimicry;sustainable cities|startup|project|?|-|school|16|SealXX
878|econ;media|housing economics;magazines|startup;magazine|project|?|-|school|17|SealXX
879|talent;edu|accelerators;india;teenagers|nonprofit|project|India|-|unknown|-|Nexteen
880|talent;cities|sanitation;india;accelerators|nonprofit|project|India|-|school|16|Nexteen
881|ai;finance|blockchain;india;accelerators|software|project|India|-|undergrad|22|Nexteen
882|talent|startups;india;accelerators|nonprofit|project|India|-|school|19|Nexteen
883|talent;health|nonprofits;india;accelerators|nonprofit|project|India|-|school|16|Nexteen
884|media;materials|youtube;india;accelerators|video;podcast|project|India|-|school|19|Nexteen
885|finance;computing|fintech;india|startup|project|India|-|founder|22|-
886|materials;energy|plastic waste;building materials;india|startup|project|India|-|founder|-|TrashTrap
887|econ;gov|dalit capitalism;india;caste|research|project|India|-|writer|-|-
888|robotics;cities|drone delivery;mobility;india|startup|project|India|-|school|-|Airbound
889|space;computing|cubesats;open source;india|hardware|project|India|-|school|-|Paradox Sonic Space Research Agency
890|agri;energy|waste to fertiliser;india|startup|project|India|-|founder|-|BillionCarbon
891|econ|development economics;india;slums|research|project|United States|India|academic|-|-
892|edu;arts|sport;coaching;india|nonprofit|project|India|-|professional|-|ACE Snooker Foundation
893|health;computing|menstrual health;india|startup|project|India|-|founder|-|Cranberry.Fit
894|bio;ai|antimicrobial resistance;bioinformatics;india|research|travel|India|-|school|15|-
895|cities;health|sanitation;india|startup|project|India|-|founder|43|Loocafe
896|edu;math|teacher training;india;mathematics|nonprofit|project|India|-|founder|-|Aavishkaar
897|media;gov|lgbtq;journalism;india|magazine|project|India|-|writer|-|queerbeat
898|ai;bio|wildlife;bioacoustics;india|hardware|project|India|-|school|-|Aquastreet
899|gov;media|immigration;india;community|book|project|United States|India|writer|26|Unshacked
900|computing;security|cybersecurity;india|hardware|project|India|-|founder|-|-
901|bio;energy|forest fires;radioactive tracing;india|research|project|India|-|undergrad|18|-
902|health;computing|pharmacy delivery;india|startup|project|India|-|founder|24|Omeyo
903|energy|electric vehicles;clean energy;india|startup|project|India|-|founder|23|Quintinno Labs
904|talent;edu|talent search;mathematics;science|nonprofit|project|United Kingdom|-|independent|-|-
905|ai;media|short video;india|startup|project|India|-|founder|22|-
906|health;gov|family planning;hiv;nepal|nonprofit|project|Nepal|-|academic|-|Ostrom Center
907|edu;talent|mentorship;india;school dropouts|nonprofit|project|India|-|school|17|Fun Learning Youth
908|health;bio|anaemia;medical devices;india|startup|project|India|-|founder|-|HyGlo
909|econ;talent|deeptech startups;india|research|project|India|-|independent|35|-
910|ai;computing|augmented reality;3d modelling;india|startup|project|India|-|founder|23|Augrade
911|math;bio|mathematical oncology;india|research|project|India|-|school|19|-
912|media;gov|public discourse;india|magazine|project|India|-|writer|-|Conversations on India
