1|media|online writing;eastern europe|writing|project|?|-|unknown|-|-
2|talent|residencies;talent search|nonprofit;community|institution|United States|-|unknown|-|Topos House
3|econ;talent|rationality community|-|travel|United States|-|school|18|-
4|gov;cities|charter cities;governance innovation|nonprofit;thinktank|institution|United States|-|founder|-|Charter Cities Institute
5|neuro|brain computer interfaces;assistive technology|research|project|United States|India|school|-|-
6|arts;computing|street art;web scraping;digital archives|dataset|project|United States|-|founder|-|-
7|media|travel writing|writing|travel|Argentina|-|writer|-|-
8|progress;media|scientific stagnation;progress studies|writing|project|United Kingdom|-|writer|-|Works in Progress
9|security;gov|defence procurement|podcast;writing|career|United States|-|professional|-|Acquisition Talk
10|bio;neuro|RNA memory;molecular biology|research|project|United Kingdom|-|grad|-|-
11|econ|entrepreneurship;experimental economics|research|project|United States|-|academic|-|-
12|econ|development economics;lotteries;poverty|research|project|United States|-|grad|-|-
13|media|local journalism|writing|project|United States|-|writer|-|Rootsforchester
14|econ;media|economics writing|writing|career|United States|-|academic|-|-
15|edu|microschools;school choice|nonprofit|project|United States|-|founder|-|Prenda
16|media|podcasting;online writing|podcast|career|United States|-|writer|-|Write of Passage
17|edu|microschools;school choice|startup|project|United States|-|founder|-|Prenda
18|gov|sport and politics|research|project|United States|-|academic|-|-
19|media;talent|podcasting;youth achievement|podcast|project|?|-|school|-|-
20|history;math|history of mathematics;scientific institutions|research|project|?|-|independent|-|-
21|edu|virtual reality;science education|startup|project|?|-|founder|-|Kosmos School
22|econ;edu|economics education;board games|game|project|?|-|unknown|-|-
23|arts|film-making|video|project|United Kingdom|-|independent|23|-
24|ai;health|speech recognition;clinical documentation|startup|project|?|-|founder|-|-
25|computing|software projects|-|travel|Saudi Arabia|-|undergrad|-|Therma
26|media;gov|china;technology policy|podcast;writing|project|United States|-|writer|-|ChinaTalk
27|econ|development economics;africa|-|travel|?|-|independent|-|-
28|econ;media|economics education;youtube|video|project|United States|-|academic|-|Market Power
29|progress;philosophy|technology and religion;economic progress|book|project|?|-|writer|-|-
30|ai;linguistics|endangered languages;natural language processing|software|project|Cape Verde|Nigeria|independent|-|Aditu
31|gov;security|election security|-|travel|United States|-|professional|-|-
32|econ;gov|crime and punishment;law and economics|podcast|project|United States|-|academic|-|Probable Causation
33|gov;media|law and politics|-|travel|United Kingdom|Ireland|undergrad|-|-
34|computing;finance|biometrics;cryptocurrency|startup|career|United States|-|school|-|Matrix
35|philosophy;media|philosophy podcasting|podcast|project|United States|-|academic|-|Elucidations
36|philosophy;media|argumentation;rationality|video|project|United States|-|independent|-|-
37|health;media|pandemic journalism;public health reporting|magazine|prize|United States|-|professional|-|STAT News
38|health;computing|contact tracing;privacy|software|prize|United States|-|founder|-|Covid Watch
39|econ;edu;talent|talent identification;k-12 education|research|project|United States|-|grad|-|-
40|progress;media|science blogging|writing|project|Spain|-|independent|-|Nintil
41|physics;energy|nuclear fusion|-|career|United States|-|school|-|-
42|energy;talent|nuclear fusion;entrepreneurship|-|travel|Ireland|-|undergrad|-|-
43|econ;history;health|economic history;nuclear testing;soviet union|research|project|United States|-|academic|-|-
44|econ;gov|development data;india|dataset|project|United States|-|academic|-|Development Data Lab
45|progress;media|science funding;blogging|writing|career|Russia|-|independent|-|-
46|econ;edu|prison education;economics education|course|project|United States|-|grad|-|-
47|ai;agri|crop disease detection;assistive technology|software|career|United States|-|school|-|PlantumAI
48|computing;finance|income share agreements|-|career|United Kingdom|-|school|16|-
49|econ;gov|contract enforcement;courts;india|research|project|United States|India|grad|-|-
50|talent|general career development|-|career|India|-|school|17|-
51|edu;computing|learning tools;spaced repetition|software|project|United States|-|independent|-|-
52|computing;robotics|virtual reality;open hardware|startup;hardware|project|United States|-|founder|-|Atmos
53|gov|criminal justice;public data|nonprofit;dataset|project|United States|-|founder|-|Recidiviz
54|ai;gov|explainable ai;ai regulation|research|project|United States|-|grad|-|-
55|gov;media|political communication|writing|career|United States|-|professional|-|-
56|econ;gov|indian political economy|research|career|United States|India|academic|-|-
57|ai;media|general career development|-|career|Canada|-|undergrad|20|-
58|health|abuse survivor support|nonprofit|project|United States|-|unknown|-|SpiritFire
59|econ;history|economic history;development|writing|prize|?|-|independent|-|-
60|econ;gov|social change;gender;development|podcast|project|United Kingdom|-|academic|-|-
61|progress|progress studies;history of technology|writing|career|United States|-|writer|-|The Roots of Progress
62|history;gov|american history;china|book|project|United States|-|writer|-|The Scholar's Stage
63|bio|embryo selection;genetics|research|project|?|-|independent|-|-
64|progress;econ|progress studies;economic growth|podcast;video|project|Finland|-|founder|-|-
65|econ;ai|existential risk;economic growth|research|career|United States|Germany|school|17|-
66|progress;finance|technological progress;finance|book|project|United States|-|writer|-|The Diff
67|progress;media|progress studies|magazine|project|United Kingdom|-|writer|-|Works in Progress
68|cities|housing;yimby|book|project|United States|-|founder|-|-
69|talent|general career development|-|career|?|-|school|-|-
70|talent;media|talent search;online community|community|career|Belgium|Hungary|founder|-|Interintellect
71|gov;econ|think tanks;nigeria|thinktank|travel|Nigeria|-|professional|-|-
72|talent;computing|talent search;mexico;programming education|nonprofit|project|Mexico|-|founder|-|Academia Mirmidon
73|econ;gov|policy reform;latin america|thinktank|institution|United States|Uruguay|founder|-|Archbridge Institute
74|cities|zoning;housing;yimby|book|project|United States|-|professional|-|-
75|math;computing|self-directed learning|-|career|India|-|school|-|-
76|cities|transport;buses|startup|project|United States|India|founder|-|AtoB
77|progress|progress studies|magazine|career|United States|-|writer|-|Works in Progress
78|media;gov|podcasting;race and politics|podcast|career|United States|-|writer|-|Conversations with Coleman
79|ai;gov|political forecasting|research|career|United States|-|professional|-|-
80|gov|state policy;evidence-based policy|thinktank|institution|United States|-|founder|-|Center for State Policy Analysis
81|progress|industrial research labs|research|project|United States|-|independent|-|-
82|cities;gov|charter cities;ghana|startup|project|Ghana|United States|founder|-|Bluebook Cities
83|talent;gov|credentialing;labour markets|startup|project|United States|-|founder|-|-
84|energy;health|air pollution monitoring;india|hardware|project|India|-|founder|-|-
85|health;gov|pandemic preparedness|research|project|United States|-|grad|-|-
86|computing|social media tools|startup;software|project|Portugal|-|founder|-|Threadhelper
87|media;talent|founder interviews;malaysia|writing;book|project|Malaysia|-|writer|-|Phoenix Newsletters
88|health|nursing;pandemic communication|video|project|United States|-|professional|-|-
89|computing;health|open data;apis;covid-19|dataset;software|project|United Kingdom|South Africa|founder|-|COVID19API
90|ai;bio|computational chemistry;drug discovery|research|career|Canada|-|school|17|Project De Novo
91|edu|online universities;accreditation|startup|project|United Kingdom|-|founder|-|Woolf University
92|progress|metascience;citation analysis|research|project|Canada|Finland|academic|-|-
93|history;health|economic history;epidemics|research|project|Netherlands|Spain|postdoc|-|-
94|econ|small business|research|career|United States|-|undergrad|-|-
95|econ|economics education;pakistan|-|career|Pakistan|-|school|-|-
96|media|travel;podcasting|podcast|project|United Arab Emirates|-|independent|-|-
97|edu;computing|education technology|-|career|Singapore|-|undergrad|-|Enlite
98|econ;media|entrepreneurship;uzbekistan|podcast|project|United States|Uzbekistan|grad|-|-
99|edu;talent|rural education;e-commerce;india|nonprofit;startup|project|India|-|founder|-|ByBuy
100|ai;health|contact tracing;mobility analytics;india|startup|project|India|-|founder|-|Infinite Analytics
