571|media|blogging|writing|project|United States|-|writer|-|Sympathetic Opposition
572|neuro;ai|whole brain emulation|research|project|United States|-|undergrad|-|-
573|computing;health|apps;fitness|software|project|South Korea|-|school|-|-
574|bio|cryobiology|research|career|Canada|-|undergrad|-|-
575|progress;media|progress studies;writing|magazine|career|United States|-|undergrad|-|Works in Progress
576|linguistics;history|indus script;ancient writing|research|project|United States|-|school|-|-
577|materials;computing|nanofabrication;semiconductors|community|project|Canada|-|undergrad|-|-
578|talent|general career development|-|career|United States|India|undergrad|-|-
579|bio;health|artificial wombs;reproduction|nonprofit|project|United States|Canada|founder|-|-
580|ai|ai commentary|-|travel|New Zealand|-|independent|-|-
581|bio;health|biomedical innovation|research|project|United States|Canada|undergrad|-|-
582|computing|databases;query optimisation|software|project|Saudi Arabia|Pakistan|school|-|-
583|progress;gov|science funding;nsf|writing|project|United States|-|independent|-|-
584|history;space|lidar;archaeology;mesoamerica|research|project|United States|Iran|founder|-|-
585|cities;gov|charter cities;governance innovation|thinktank|project|United States|-|founder|-|Charter Cities Institute
586|space;robotics|space probes;self-replication|startup|project|United States|-|founder|-|Khan Space Industries
587|ai|ai evaluation;benchmarks|nonprofit;competition|institution|United States|-|founder|-|Arc Prize
588|bio;talent|residencies;biotech|community|institution|United States|-|founder|-|Nucleate DoJo
589|ai;media|social media;recommendation|software|project|Ireland|-|founder|-|-
590|arts;philosophy|documentary;conversation|video|project|United States|-|independent|-|-
591|ai|ai measurement;forecasting|nonprofit;dataset|institution|Spain|-|founder|-|Epoch AI
592|health;bio|glucose monitoring;medical devices|hardware|project|United States|-|undergrad|-|-
593|physics;computing|quantum computing|research|career|Australia|-|school|17|-
594|gov;history|china|writing|project|United States|-|writer|-|-
595|bio;gov|pharmaceuticals;fda;regulation|writing|project|United States|-|writer|-|-
596|arts;computing|photography;data centres|art|project|United States|-|professional|-|-
597|econ;media|economics education;youtube|video|project|United States|-|independent|-|-
598|econ;gov|behavioural political economy|research|travel|United States|Argentina|grad|-|-
599|robotics;health|prosthetics|hardware|project|United States|North Macedonia|founder|-|-
600|progress|progress studies;czechia|thinktank|institution|Czechia|-|founder|-|-
601|progress;media|progress studies;writing|writing|career|United States|-|writer|-|-
602|progress|progress studies;australia|nonprofit|project|Australia|-|founder|-|-
603|space|satellites|-|career|United Kingdom|-|undergrad|-|-
