986|talent;progress|talent clusters;india;translational research|community|project|India|-|founder|24|Ariima DeepTech Circle
987|neuro|neurotechnology;india|-|travel|India|-|grad|24|-
988|talent;media|conferences;india;micro-grants|community|project|India|-|founder|-|Basedcon
989|physics;philosophy|olympiads;india|competition|career|India|-|school|17|-
990|space;robotics|aerospace;robotics;india|-|career|India|-|undergrad|-|-
991|robotics|electronics;robotics;india|-|career|India|-|school|16|-
992|health;computing|blood donation;bangladesh|software|project|Bangladesh|-|school|16|BloodLink
993|edu;talent|stem education;india|-|career|India|-|school|16|-
994|ai;gov|legal tech;ai agents;india|startup|project|India|-|founder|21|Airstrip AI
995|talent;edu|talent search;india;rural development|nonprofit|project|India|-|founder|-|Project Potential
996|robotics;energy|waste;robotics;india|hardware|project|India|-|founder|22|-
997|bio;energy|water quality;ecotoxicology|research|travel|Germany|India|grad|-|-
998|edu;econ|rural development;india;stem education|nonprofit|project|India|-|academic|-|Project Bandhan
999|materials;computing|noise cancellation;india|startup|project|India|-|school|17|Whisperwave
1000|arts|indian classical music;bansuri|art|career|India|-|professional|-|-
1001|ai;health|mental health;india|startup|project|India|-|school|17|-
1002|talent;computing|builders;india|startup|project|India|-|school|16|Exerton
1003|agri;energy|water;agricultural waste|startup|project|?|-|school|-|Waste2o
1004|econ;gov|rural development;india;open data|dataset|project|India|-|school|18|Rural Analytics
1005|edu|science education;india|course|project|India|-|independent|-|-
1006|ai;edu|special needs education;india|startup|project|India|-|founder|-|Cognitii
1007|energy|wastewater;carbon credits;india|startup|project|India|-|school|18|Vasudeva Innovations
1008|health|surgery|-|travel|United States|India|grad|-|-
1009|finance;edu|financial literacy;india;gamification|software|project|India|-|school|14|Repay Smart
1010|philosophy;media|podcasting;india;writing|podcast;book|project|India|-|writer|-|-
1011|edu|children;india;learning spaces|nonprofit|project|India|-|founder|-|Vardhishnu
1012|neuro;ai|mental health;cognitive assessment;india|research|project|India|-|grad|-|-
1013|arts;agri|fiction;animal welfare;india|book|project|India|-|writer|-|-
